Collection Date,Pond ID,Temp 1 ,Temp 2,Temp 3,Depth 1,Depth 2 ,Depth 3 ,Depth 4,pH,Shrimp Count 1 (Density),Shrimp Count 2 (Density),Shrimp Count 3 (Density),DO,Shrimp Observed
2021-11-28,NE,5.0,5.0,5.0,40.0,50.0,45.0,NA,6.0,0,0,0,NA,0
2021-11-28,NW,5.0,5.0,6.0,35.0,35.0,35.0,NA,5.7,0,0,0,NA,0
2021-11-28,SE,4.9,5.0,5.0,35.0,50.0,45.0,NA,6.1,0,0,0,NA,0
2021-11-28,SW,5.0,5.0,5.0,35.0,30.0,10.0,NA,5.8,0,0,0,NA,0
2021-12-03,NE,5.2,5.2,5.1,41.0,48.0,43.0,NA,5.6,0,0,0,NA,0
2021-12-03,NW,5.1,5.2,5.1,33.0,35.0,37.0,NA,5.4,0,0,0,NA,0
2021-12-03,SE,5.1,5.1,5.1,39.0,47.0,45.0,NA,5.8,0,0,0,NA,0
2021-12-03,SW,5.0,5.1,5.0,20.0,15.5,24.0,NA,5.6,0,0,0,NA,0
2021-12-16,NE,5.0,5.0,5.0,30.0,45.0,45.0,25.0,5.5,0,0,0,NA,0
2021-12-16,NW,5.1,5.0,5.0,30.0,35.0,35.0,30.0,5.2,0,0,0,NA,3
2021-12-16,SE,5.0,4.9,4.8,35.0,30.0,40.0,45.0,5.6,0,0,0,NA,0
2021-12-16,SW,5.0,5.0,5.0,20.0,15.0,25.0,30.0,5.5,0,0,0,NA,0
2021-12-23,NE,3,3,3,40,45,45,25,5,0,0,0,NA,0
2021-12-23,NW,4,4,4,30,30,35,35,4.9,0,0,0,NA,7
2021-12-23,SE,2.5,1.5,2.5,50,40,35,40,5.4,0,0,0,NA,0
2021-12-23,SW,3,3,3,35,30,20,25,5.2,0,0,0,NA,0
2022-01-14,NE,6,6,6,30,40,45,30,5.6,0,0,0,0.6,0
2022-01-14,NW,6,6,5.5,25,25,35,25,5.5,0,0,0,2.2,0
2022-01-14,SE,2,1.5,1,40,30,30,45,5.9,0,0,0,2.2,0
2022-01-14,SW,5.5,6,7,40,20,15,35,5.6,0,0,0,3.6,0
2022-01-27,NE,4,5,4,40,25,35,40,6,0,0,0,NA,0
2022-01-27,NW,4.5,4.5,4,25,30,30,20,5.7,0,0,0,NA,1
2022-01-27,SE,4,4,4,35,45,30,30,6.1,0,0,0,NA,0
2022-01-27,SW,4,4,3,15,10,30,30,6,0,0,0,NA,0
2022-02-10,NE,7,6.5,6.5,30,45,45,30,6,0,0,0,NA,0
2022-02-10,NW,6.5,6.5,6,20,35,35,35,6.1,0,0,0,NA,4
2022-02-10,SE,6,6,6,35,30,45,45,6,0,0,0,NA,1
2022-02-10,SW,6,7,6.5,20,15,35,25,6.1,0,0,0,NA,0
2022-02-24,NE,3.5,5,2,20,30,40,40,6.6,0,0,0,0.6,1
2022-02-24,NW,3.5,2.5,2.5,15,20,20,30,6.2,0,0,0,1.8,1
2022-02-24,SE,1.5,3,2,25,30,20,40,6.6,0,0,0,1,2
2022-02-24,SW,4,3,2.5,10,10,25,20,6.5,0,0,0,4.2,0
2022-03-11,NE,5,5,5,28,35,40,20,6.3,0,0,0,NA,0
2022-03-11,NW,5,5.5,5,20,25,30,35,6.1,0,0,0,NA,2
2022-03-11,SE,5,4.5,5,40,30,25,25,6.3,0,0,0,NA,2
2022-03-11,SW,5.5,5,5,15,5,25,25,6.5,0,0,0,NA,0
